date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:00	64890/64890	---M-Z	200	added ('OK')	application/javascript	etag:%22fd7a-551935a0d853d-gzip%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.5	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min5243.js	(from http://theprogroup.co.nz/)
10:11:00	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-55192e5b4c6ef-gzip%22	http://theprogroup.co.nz/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-includes/wlwmanifest.xml	(from http://theprogroup.co.nz/)
10:11:01	2093/2093	---M--	200	added ('OK')	application/json	date:Sun,%2011%20Jun%202017%2022:11:00%20GMT	http://theprogroup.co.nz/wp-json/oembed/1.0/embed?url=http%3A%2F%2Ftheprogroup.co.nz%2F	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-json/oembed/1.0/embedb08e.json	(from http://theprogroup.co.nz/)
10:11:01	2178/2178	---M-Z	200	added ('OK')	text/xml	date:Sun,%2011%20Jun%202017%2022:11:01%20GMT	http://theprogroup.co.nz/wp-json/oembed/1.0/embed?url=http%3A%2F%2Ftheprogroup.co.nz%2F&format=xml	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-json/oembed/1.0/embed9e71	(from http://theprogroup.co.nz/)
10:11:02	3791/3791	---M--	200	added ('OK')	image/png	etag:%22ecf-55197157d7869%22	http://www.theprogroup.co.nz/wp-content/themes/progroup/uploads//ProGroup-web-logo-2014.png	C:/My%20Web%20Sites/TheProGroup/www.theprogroup.co.nz/wp-content/themes/progroup/uploads/ProGroup-web-logo-2014.png	(from http://theprogroup.co.nz/)
10:11:02	110418/110418	---M-Z	200	added ('OK')	application/javascript	etag:%221af52-551935a1022ca-gzip%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.5	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min5243.js	(from http://theprogroup.co.nz/)
10:11:03	0/0	---M--	200	added ('OK')	text/javascript	date:Sun,%2011%20Jun%202017%2022:11:02%20GMT	http://theprogroup.co.nz/?wordfence_logHuman=1&hid=83421505693993FD96DB27CA6FFA96CB	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/indexc9ce.html	(from http://theprogroup.co.nz/)
10:11:03	10756/10756	---M--	200	added ('OK')	image/png	etag:%222a04-55197156ef4f5%22	http://theprogroup.co.nz/wp-content/themes/progroup/uploads//GroutPro-web-logo-large-2014.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/progroup/uploads/GroutPro-web-logo-large-2014.png	(from http://theprogroup.co.nz/)
10:11:04	27796/27796	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jun%202017%2022:11:03%20GMT	http://theprogroup.co.nz/about-us/	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/about-us/index.html	(from http://theprogroup.co.nz/)
10:11:05	12401/12401	---M--	200	added ('OK')	image/jpeg	etag:%223071-5519715b398f4%22	http://new.theprogroup.co.nz/wp-content/themes/progroup/uploads//iStock_000002390509Small-1-300x200.jpg	C:/My%20Web%20Sites/TheProGroup/new.theprogroup.co.nz/wp-content/themes/progroup/uploads/iStock_000002390509Small-1-300x200.jpg	(from http://theprogroup.co.nz/)
